demandScen,region,sector,year,factor
SSP2EU_demRedStrong,CAZ,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,CHA,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,DEU,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,ECE,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,ECS,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,ENC,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,ESC,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,ESW,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,EWN,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,FRA,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,IND,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,JPN,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,LAM,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,MEA,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,NEN,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,NES,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,OAS,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,REF,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,SSA,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,UKI,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,USA,trn_aviation_intl,2050,0.7
SSP2EU_demRedStrong,CAZ,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,CHA,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,DEU,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,ECE,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,ECS,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,ENC,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,ESC,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,ESW,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,EWN,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,FRA,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,IND,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,JPN,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,LAM,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,MEA,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,NEN,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,NES,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,OAS,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,REF,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,SSA,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,UKI,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,USA,trn_shipping_intl,2050,0.9
SSP2EU_demRedStrong,CAZ,trn_freight,2050,0.82
SSP2EU_demRedStrong,CHA,trn_freight,2050,0.82
SSP2EU_demRedStrong,DEU,trn_freight,2050,0.82
SSP2EU_demRedStrong,ECE,trn_freight,2050,0.82
SSP2EU_demRedStrong,ECS,trn_freight,2050,0.82
SSP2EU_demRedStrong,ENC,trn_freight,2050,0.82
SSP2EU_demRedStrong,ESC,trn_freight,2050,0.82
SSP2EU_demRedStrong,ESW,trn_freight,2050,0.82
SSP2EU_demRedStrong,EWN,trn_freight,2050,0.82
