UCD_sector,size_class,mode,vehicle_type
Passenger,All,Air Domestic,Domestic Aviation_tmp_vehicletype
Passenger,All,Air International,International Aviation_tmp_vehicletype
Passenger,All,Bus,Bus_tmp_vehicletype
Passenger,All,HSR,HSR_tmp_vehicletype
Passenger,All,Rail,Passenger Rail_tmp_vehicletype
Freight,All,Rail,Freight Rail_tmp_vehicletype
Freight,All,Ship Domestic,Domestic Ship_tmp_vehicletype
Freight,All,Ship International,International Ship_tmp_vehicletype
Freight,Truck (0-2t),Truck,Truck (0-3.5t)
Freight,Truck (2-5t),Truck,Truck (0-3.5t)
Freight,Truck (5-9t),Truck,Truck (7.5t)
Freight,Truck (9-16t),Truck,Truck (18t)
Freight,Truck (0-1t),Truck,Truck (0-3.5t)
Freight,Truck (1-6t),Truck,Truck (7.5t)
Freight,Truck (6-30t),Truck,Truck (18t)
Freight,Truck (0-4.5t),Truck,Truck (0-3.5t)
Freight,Truck (4.5-15t),Truck,Truck (7.5t)
Freight,Truck (>15t),Truck,Truck (26t)
Freight,3W Rural,Truck,Truck (0-3.5t)
Freight,Truck (0-6t),Truck,Truck (0-3.5t)
Freight,Truck (6-14t),Truck,Truck (7.5t)
Freight,Truck (>14t),Truck,Truck (18t)
Freight,Truck (0-3.5t),Truck,Truck (0-3.5t)
Freight,Truck (16-32t),Truck,Truck (26t)
Freight,Truck (3.5-16t),Truck,Truck (26t)
Freight,Truck (>32t),Truck,Truck (40t)
Freight,Truck,Truck,Truck
Freight,Truck (6-15t),Truck,Truck (7.5t)
Freight,Truck (0-2.7t),Truck,Truck (0-3.5t)
Freight,Truck (2.7-4.5t),Truck,Truck (0-3.5t)
Freight,Truck (4.5-12t),Truck,Truck (7.5t)
Freight,Truck (>12t),Truck,Truck (18t)
Passenger,Motorcycle (50-250cc),LDV_2W,Motorcycle (50-250cc)
Passenger,Mini Car,LDV_4W,Mini Car
Passenger,Subcompact Car,LDV_4W,Subcompact Car
Passenger,Compact Car,LDV_4W,Compact Car
Passenger,Multipurpose Vehicle,LDV_4W,Multipurpose Vehicle
Passenger,Motorcycle (>250cc),LDV_2W,Motorcycle (>250cc)
Passenger,Midsize Car,LDV_4W,Midsize Car
Passenger,Large Car,LDV_4W,Large Car
Passenger,Light Truck and SUV,LDV_4W,Light Truck and SUV
Passenger,Van,LDV_4W,Van
Passenger,Large Car and SUV,LDV_4W,Large Car and SUV
Passenger,Moped,LDV_2W,Moped
Passenger,Scooter,LDV_2W,Moped
Passenger,Three-Wheeler,LDV_3W,Motorcycle (>250cc)
