SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100;2150
SDP_EI;FRA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.40E-02;3.36E-01;6.26E-01;9.16E-01;1.00E+00;1.00E+00
SDP_EI;IND;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.03E-01;3.45E-01;5.87E-01;1.00E+00;1.00E+00
SDP_EI;JPN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.94E-01;2.76E-01;3.59E-01;7.51E-01;7.51E-01
SDP_EI;LAM;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.59E-01;6.29E-01;1.00E+00;1.00E+00;1.00E+00
SDP_EI;MEA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.03E-01;3.45E-01;5.87E-01;1.00E+00;1.00E+00
SDP_EI;NEN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;5.61E-02;2.80E-01;5.54E-01;8.27E-01;1.00E+00;1.00E+00
SDP_EI;NES;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.03E-01;2.26E-01;3.48E-01;6.93E-01;6.93E-01
SDP_EI;OAS;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.82E-01;6.41E-01;1.00E+00;1.00E+00;1.00E+00
SDP_EI;REF;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.45E-01;3.93E-01;6.40E-01;1.00E+00;1.00E+00
SDP_EI;SSA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.24E-01;4.58E-01;7.92E-01;1.00E+00;1.00E+00
