"","variable","region","period","unit","scenario","value","model"
"49","ES|Transport|Freight|Road","OECD",2030,"bn tkm/yr","historical",16338.3691538301,"IEA ETP RTS"
"50","ES|Transport|Freight|Road","NonOECD",2030,"bn tkm/yr","historical",34106.6848113558,"IEA ETP RTS"
"51","ES|Transport|Freight|Road","ASEAN",2030,"bn tkm/yr","historical",3102.89325406358,"IEA ETP RTS"
"52","ES|Transport|Freight|Road","Brazil",2030,"bn tkm/yr","historical",2472.20416920267,"IEA ETP RTS"
"53","ES|Transport|Freight|Road","China",2030,"bn tkm/yr","historical",12267.0013024325,"IEA ETP RTS"
"54","ES|Transport|Freight|Road","European Union",2030,"bn tkm/yr","historical",3667.63577347105,"IEA ETP RTS"
"55","ES|Transport|Freight|Road","India",2030,"bn tkm/yr","historical",5034.34141444191,"IEA ETP RTS"
"56","ES|Transport|Freight|Road","Mexico",2030,"bn tkm/yr","historical",786.480151417234,"IEA ETP RTS"
"57","ES|Transport|Freight|Road","Russia",2030,"bn tkm/yr","historical",1295.32947880476,"IEA ETP RTS"
"58","ES|Transport|Freight|Road","South Africa",2030,"bn tkm/yr","historical",478.051984129663,"IEA ETP RTS"
"59","ES|Transport|Freight|Road","United States",2030,"bn tkm/yr","historical",8814.37991127309,"IEA ETP RTS"
"60","ES|Transport|Freight|Road","OECD",2035,"bn tkm/yr","historical",18169.120668614,"IEA ETP RTS"
"61","ES|Transport|Freight|Road","NonOECD",2035,"bn tkm/yr","historical",41100.8818936202,"IEA ETP RTS"
"62","ES|Transport|Freight|Road","ASEAN",2035,"bn tkm/yr","historical",3757.20740854807,"IEA ETP RTS"
"63","ES|Transport|Freight|Road","Brazil",2035,"bn tkm/yr","historical",2797.09304405031,"IEA ETP RTS"
"64","ES|Transport|Freight|Road","China",2035,"bn tkm/yr","historical",14758.8697799593,"IEA ETP RTS"
"65","ES|Transport|Freight|Road","European Union",2035,"bn tkm/yr","historical",3986.6368735533,"IEA ETP RTS"
"66","ES|Transport|Freight|Road","India",2035,"bn tkm/yr","historical",6356.90255799223,"IEA ETP RTS"
"67","ES|Transport|Freight|Road","Mexico",2035,"bn tkm/yr","historical",893.2296813132,"IEA ETP RTS"
"68","ES|Transport|Freight|Road","Russia",2035,"bn tkm/yr","historical",1459.35089457984,"IEA ETP RTS"
"69","ES|Transport|Freight|Road","South Africa",2035,"bn tkm/yr","historical",545.811168835336,"IEA ETP RTS"
"70","ES|Transport|Freight|Road","United States",2035,"bn tkm/yr","historical",9892.54944416559,"IEA ETP RTS"
"71","ES|Transport|Freight|Road","OECD",2040,"bn tkm/yr","historical",19925.2982800056,"IEA ETP RTS"
"72","ES|Transport|Freight|Road","NonOECD",2040,"bn tkm/yr","historical",47943.8471123103,"IEA ETP RTS"
"73","ES|Transport|Freight|Road","ASEAN",2040,"bn tkm/yr","historical",4384.09424013488,"IEA ETP RTS"
"74","ES|Transport|Freight|Road","Brazil",2040,"bn tkm/yr","historical",3121.07157249734,"IEA ETP RTS"
"75","ES|Transport|Freight|Road","China",2040,"bn tkm/yr","historical",17243.1663175884,"IEA ETP RTS"
"76","ES|Transport|Freight|Road","European Union",2040,"bn tkm/yr","historical",4284.91138723445,"IEA ETP RTS"
"77","ES|Transport|Freight|Road","India",2040,"bn tkm/yr","historical",7681.94963015278,"IEA ETP RTS"
"78","ES|Transport|Freight|Road","Mexico",2040,"bn tkm/yr","historical",987.679123667632,"IEA ETP RTS"
"79","ES|Transport|Freight|Road","Russia",2040,"bn tkm/yr","historical",1618.40971320854,"IEA ETP RTS"
"80","ES|Transport|Freight|Road","South Africa",2040,"bn tkm/yr","historical",613.201734016837,"IEA ETP RTS"
"81","ES|Transport|Freight|Road","United States",2040,"bn tkm/yr","historical",10953.6649619153,"IEA ETP RTS"
"82","ES|Transport|Freight|Road","OECD",2045,"bn tkm/yr","historical",21612.8854791286,"IEA ETP RTS"
"83","ES|Transport|Freight|Road","NonOECD",2045,"bn tkm/yr","historical",54646.5984574641,"IEA ETP RTS"
"84","ES|Transport|Freight|Road","ASEAN",2045,"bn tkm/yr","historical",4994.12169843479,"IEA ETP RTS"
"85","ES|Transport|Freight|Road","Brazil",2045,"bn tkm/yr","historical",3449.94446021664,"IEA ETP RTS"
"86","ES|Transport|Freight|Road","China",2045,"bn tkm/yr","historical",19585.5105410953,"IEA ETP RTS"
"87","ES|Transport|Freight|Road","European Union",2045,"bn tkm/yr","historical",4581.42473637289,"IEA ETP RTS"
"88","ES|Transport|Freight|Road","India",2045,"bn tkm/yr","historical",9051.40938869915,"IEA ETP RTS"
"89","ES|Transport|Freight|Road","Mexico",2045,"bn tkm/yr","historical",1078.73789965671,"IEA ETP RTS"
"90","ES|Transport|Freight|Road","Russia",2045,"bn tkm/yr","historical",1776.55948263999,"IEA ETP RTS"
"91","ES|Transport|Freight|Road","South Africa",2045,"bn tkm/yr","historical",679.236392835969,"IEA ETP RTS"
"92","ES|Transport|Freight|Road","United States",2045,"bn tkm/yr","historical",11969.5931035878,"IEA ETP RTS"
"93","ES|Transport|Freight|Road","OECD",2050,"bn tkm/yr","historical",23332.8537162216,"IEA ETP RTS"
"94","ES|Transport|Freight|Road","NonOECD",2050,"bn tkm/yr","historical",61420.1581775919,"IEA ETP RTS"
"95","ES|Transport|Freight|Road","ASEAN",2050,"bn tkm/yr","historical",5587.61488381194,"IEA ETP RTS"
"96","ES|Transport|Freight|Road","Brazil",2050,"bn tkm/yr","historical",3792.59658956788,"IEA ETP RTS"
"97","ES|Transport|Freight|Road","China",2050,"bn tkm/yr","historical",21964.3685800745,"IEA ETP RTS"
"98","ES|Transport|Freight|Road","European Union",2050,"bn tkm/yr","historical",4869.72377815795,"IEA ETP RTS"
"99","ES|Transport|Freight|Road","India",2050,"bn tkm/yr","historical",10431.6925544307,"IEA ETP RTS"
"100","ES|Transport|Freight|Road","Mexico",2050,"bn tkm/yr","historical",1171.78830765267,"IEA ETP RTS"
"101","ES|Transport|Freight|Road","Russia",2050,"bn tkm/yr","historical",1941.68049401181,"IEA ETP RTS"
"102","ES|Transport|Freight|Road","South Africa",2050,"bn tkm/yr","historical",747.551438181768,"IEA ETP RTS"
"103","ES|Transport|Freight|Road","United States",2050,"bn tkm/yr","historical",13022.6908626875,"IEA ETP RTS"
"104","ES|Transport|Freight|Road","OECD",2055,"bn tkm/yr","historical",25141.7892444221,"IEA ETP RTS"
"105","ES|Transport|Freight|Road","NonOECD",2055,"bn tkm/yr","historical",68364.2905318894,"IEA ETP RTS"
"106","ES|Transport|Freight|Road","ASEAN",2055,"bn tkm/yr","historical",6181.05512584177,"IEA ETP RTS"
"107","ES|Transport|Freight|Road","Brazil",2055,"bn tkm/yr","historical",4139.09843084719,"IEA ETP RTS"
"108","ES|Transport|Freight|Road","China",2055,"bn tkm/yr","historical",24474.8055550033,"IEA ETP RTS"
"109","ES|Transport|Freight|Road","European Union",2055,"bn tkm/yr","historical",5172.52241425259,"IEA ETP RTS"
"110","ES|Transport|Freight|Road","India",2055,"bn tkm/yr","historical",11831.2827904147,"IEA ETP RTS"
"111","ES|Transport|Freight|Road","Mexico",2055,"bn tkm/yr","historical",1273.20558760677,"IEA ETP RTS"
"112","ES|Transport|Freight|Road","Russia",2055,"bn tkm/yr","historical",2113.31046245168,"IEA ETP RTS"
"113","ES|Transport|Freight|Road","South Africa",2055,"bn tkm/yr","historical",817.516071450719,"IEA ETP RTS"
"114","ES|Transport|Freight|Road","United States",2055,"bn tkm/yr","historical",14131.7033919342,"IEA ETP RTS"
"115","ES|Transport|Freight|Road","OECD",2060,"bn tkm/yr","historical",27027.0326810593,"IEA ETP RTS"
"116","ES|Transport|Freight|Road","NonOECD",2060,"bn tkm/yr","historical",75354.5449294565,"IEA ETP RTS"
"117","ES|Transport|Freight|Road","ASEAN",2060,"bn tkm/yr","historical",6776.24597549121,"IEA ETP RTS"
"118","ES|Transport|Freight|Road","Brazil",2060,"bn tkm/yr","historical",4488.67521863627,"IEA ETP RTS"
"119","ES|Transport|Freight|Road","China",2060,"bn tkm/yr","historical",27026.8210758294,"IEA ETP RTS"
"120","ES|Transport|Freight|Road","European Union",2060,"bn tkm/yr","historical",5492.06634229221,"IEA ETP RTS"
"121","ES|Transport|Freight|Road","India",2060,"bn tkm/yr","historical",13235.421095675,"IEA ETP RTS"
"122","ES|Transport|Freight|Road","Mexico",2060,"bn tkm/yr","historical",1370.61721373747,"IEA ETP RTS"
"123","ES|Transport|Freight|Road","Russia",2060,"bn tkm/yr","historical",2286.83628004039,"IEA ETP RTS"
"124","ES|Transport|Freight|Road","South Africa",2060,"bn tkm/yr","historical",887.144782543108,"IEA ETP RTS"
"125","ES|Transport|Freight|Road","United States",2060,"bn tkm/yr","historical",15288.3440917893,"IEA ETP RTS"
"126","ES|Transport|Freight|Road","European Union",2060,"bn tkm/yr","historical",4705.53183695743,"IEA ETP B2DS"
"127","ES|Transport|Freight|Road","India",2060,"bn tkm/yr","historical",11415.2233769161,"IEA ETP B2DS"
"128","ES|Transport|Freight|Road","Mexico",2060,"bn tkm/yr","historical",1188.75000916351,"IEA ETP B2DS"
"129","ES|Transport|Freight|Road","Russia",2060,"bn tkm/yr","historical",1952.813515496,"IEA ETP B2DS"
"130","ES|Transport|Freight|Road","South Africa",2060,"bn tkm/yr","historical",766.031992753076,"IEA ETP B2DS"
"131","ES|Transport|Freight|Road","United States",2060,"bn tkm/yr","historical",12944.1687248655,"IEA ETP B2DS"
"132","ES|Transport|Freight|Road","Russia",2035,"bn tkm/yr","historical",1368.35673347654,"IEA ETP 2DS"
"133","ES|Transport|Freight|Road","South Africa",2035,"bn tkm/yr","historical",510.348712345759,"IEA ETP 2DS"
"134","ES|Transport|Freight|Road","United States",2035,"bn tkm/yr","historical",9260.04625878291,"IEA ETP 2DS"
"135","ES|Transport|Freight|Road","OECD",2040,"bn tkm/yr","historical",18513.537486597,"IEA ETP 2DS"
"136","ES|Transport|Freight|Road","NonOECD",2040,"bn tkm/yr","historical",43543.215631718,"IEA ETP 2DS"
"137","ES|Transport|Freight|Road","ASEAN",2040,"bn tkm/yr","historical",3953.0243060603,"IEA ETP 2DS"
"138","ES|Transport|Freight|Road","Brazil",2040,"bn tkm/yr","historical",2880.0318569219,"IEA ETP 2DS"
"139","ES|Transport|Freight|Road","China",2040,"bn tkm/yr","historical",15628.5331947901,"IEA ETP 2DS"
"140","ES|Transport|Freight|Road","European Union",2040,"bn tkm/yr","historical",4044.84797922735,"IEA ETP 2DS"
"141","ES|Transport|Freight|Road","India",2040,"bn tkm/yr","historical",6868.33356451018,"IEA ETP 2DS"
"142","ES|Transport|Freight|Road","Mexico",2040,"bn tkm/yr","historical",916.595226355592,"IEA ETP 2DS"
"143","ES|Transport|Freight|Road","Russia",2040,"bn tkm/yr","historical",1503.95958836538,"IEA ETP 2DS"
"144","ES|Transport|Freight|Road","South Africa",2040,"bn tkm/yr","historical",568.054790610135,"IEA ETP 2DS"
"145","ES|Transport|Freight|Road","United States",2040,"bn tkm/yr","historical",10103.6875646601,"IEA ETP 2DS"
"146","ES|Transport|Freight|Road","OECD",2045,"bn tkm/yr","historical",19869.1235087461,"IEA ETP 2DS"
"147","ES|Transport|Freight|Road","NonOECD",2045,"bn tkm/yr","historical",49361.4046987763,"IEA ETP 2DS"
"148","ES|Transport|Freight|Road","ASEAN",2045,"bn tkm/yr","historical",4473.15844680372,"IEA ETP 2DS"
"149","ES|Transport|Freight|Road","Brazil",2045,"bn tkm/yr","historical",3161.5390589196,"IEA ETP 2DS"
"150","ES|Transport|Freight|Road","China",2045,"bn tkm/yr","historical",17669.7753910196,"IEA ETP 2DS"
"151","ES|Transport|Freight|Road","European Union",2045,"bn tkm/yr","historical",4266.19714862711,"IEA ETP 2DS"
"152","ES|Transport|Freight|Road","India",2045,"bn tkm/yr","historical",8111.48898921444,"IEA ETP 2DS"
"153","ES|Transport|Freight|Road","Mexico",2045,"bn tkm/yr","historical",989.041191875807,"IEA ETP 2DS"
"154","ES|Transport|Freight|Road","Russia",2045,"bn tkm/yr","historical",1637.84922195629,"IEA ETP 2DS"
"155","ES|Transport|Freight|Road","South Africa",2045,"bn tkm/yr","historical",623.77501457577,"IEA ETP 2DS"
"156","ES|Transport|Freight|Road","United States",2045,"bn tkm/yr","historical",10952.2750875876,"IEA ETP 2DS"
"157","ES|Transport|Freight|Road","OECD",2050,"bn tkm/yr","historical",21357.7959926908,"IEA ETP 2DS"
"158","ES|Transport|Freight|Road","NonOECD",2050,"bn tkm/yr","historical",55639.8403992529,"IEA ETP 2DS"
"159","ES|Transport|Freight|Road","ASEAN",2050,"bn tkm/yr","historical",5021.63687067291,"IEA ETP 2DS"
"160","ES|Transport|Freight|Road","Brazil",2050,"bn tkm/yr","historical",3467.29444319885,"IEA ETP 2DS"
"161","ES|Transport|Freight|Road","China",2050,"bn tkm/yr","historical",19946.8805422666,"IEA ETP 2DS"
"162","ES|Transport|Freight|Road","European Union",2050,"bn tkm/yr","historical",4509.00521605205,"IEA ETP 2DS"
"163","ES|Transport|Freight|Road","India",2050,"bn tkm/yr","historical",9407.25008740564,"IEA ETP 2DS"
"164","ES|Transport|Freight|Road","Mexico",2050,"bn tkm/yr","historical",1070.39957086362,"IEA ETP 2DS"
"165","ES|Transport|Freight|Road","Russia",2050,"bn tkm/yr","historical",1781.66620122454,"IEA ETP 2DS"
"166","ES|Transport|Freight|Road","South Africa",2050,"bn tkm/yr","historical",684.330512875998,"IEA ETP 2DS"
"167","ES|Transport|Freight|Road","United States",2050,"bn tkm/yr","historical",11873.8352234927,"IEA ETP 2DS"
"168","ES|Transport|Freight|Road","OECD",2055,"bn tkm/yr","historical",22929.9941443828,"IEA ETP 2DS"
"169","ES|Transport|Freight|Road","NonOECD",2055,"bn tkm/yr","historical",62307.06117613,"IEA ETP 2DS"
"170","ES|Transport|Freight|Road","ASEAN",2055,"bn tkm/yr","historical",5607.85796846277,"IEA ETP 2DS"
"171","ES|Transport|Freight|Road","Brazil",2055,"bn tkm/yr","historical",3786.65574656301,"IEA ETP 2DS"
