region,sector,sectorL1,sectorL2,sectorL3,vehicleType,technology,period,value,level,variable,unit
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (0-3_5t),,2005,0.5,VS3,Preference|VS3,-
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (18t),,2005,0.9,VS3,Preference|VS3,-
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (26t),,2005,0.1,VS3,Preference|VS3,-
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (42t),,2005,0.05,VS3,Preference|VS3,-
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (7_5t),,2005,0.3,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (0-3_5t),,2005,1,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (18t),,2005,1,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (26t),,2005,1,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (42t),,2005,1,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (7_5t),,2005,1,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (0-3_5t),,2005,0.5,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (18t),,2005,0.7,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (26t),,2005,0.1,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (42t),,2005,0.05,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (7_5t),,2005,0.4,VS3,Preference|VS3,-
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (0-3_5t),,2010,0.6,VS3,Preference|VS3,-
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (18t),,2010,0.85,VS3,Preference|VS3,-
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (26t),,2010,0.15,VS3,Preference|VS3,-
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (42t),,2010,0.1,VS3,Preference|VS3,-
USA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (7_5t),,2010,0.3,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (0-3_5t),,2010,1,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (18t),,2010,1,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (26t),,2010,1,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (42t),,2010,1,VS3,Preference|VS3,-
IND,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (7_5t),,2010,1,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (0-3_5t),,2010,1,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (18t),,2010,0.7,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (26t),,2010,0.1,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (42t),,2010,0.05,VS3,Preference|VS3,-
CHA,trn_freight,trn_freight_road,trn_freight_road_tmp_subsectorL2,trn_freight_road_tmp_subsectorL3,Truck (7_5t),,2010,0.4,VS3,Preference|VS3,-
